#ID	Version	Updated	ChangedBy	Description	Note
242	1.3.6	2009-04-09	T.King	Added "Area", "Bandwidth" and "Solid Angle" to "Integral", added "Field-Aligned", "Group", "Perturbation", "Phase" and "Spectral" to "Qualifier".	Decided during the telecon on 2009-04-09
243	2.0.0	2009-04-15	T.King	Released.	
244	2.0.1	2009-07-12	T.King	Changed "Rendering Hints" to 0-to-many occurrence.	Decided during the telecon on 2009-07-02
245	2.0.1	2009-07-12	T.King	Under "Element" replaced "Component" with "Qualifier" and allow multiple occurrences.	Decided during the telecon on 2009-07-02
246	2.0.1	2009-07-12	T.King	Update the description of "Index" data type to explain wild cards.	Circulated in e-mail after the telecon on 2009-07-02
247	2.0.1	2009-07-12	T.King	Added "Sound Speed" to dictionary and to "Particle Quantity".	Decided in e-mail in June 2009
248	2.0.1	2009-07-12	T.King	Updates to the definition "Access URL", "Data Extent", "Polar" and "Sonic Mach Number".	
249	2.0.2	2009-09-24	T.King	Added "Atomic Number Detected", "Mass Number" and "Charge State" to dictionary and to "Particle Quantity" enumeration. Also added "Direction Angle" to "Particle Quantity".	
250	2.0.2	2009-10-08	T.King	Added "Arrival Direction" to dictionary and to "Particle Quantity" enumeration. Added "Instrument Mode" to dictionary and "Support Quantity". Updated definitions of "Charge State" and "Atomic Number Detected".	
251	2.0.2	2009-11-05	T.King	Added "Stream Interaction Region" to dictionary and to "Phenomenon Type" enumeration. Updated definition of "Coronal Mass Ejection".	
252	2.0.2	2009-11-18	T.King	Modified definitions for "Observatory" and "Instrument".	
253	2.0.3	2010-02-04	T.King	Added "Former-PI" to dictionary and to "Role" enumeration; Added "Note" to "Person".	Decided during the telecon on 2010-02-04
254	2.0.3	2010-03-19	T.King	Updated definitions for "Number Flux", "Energy Flux", "Differential", and "Integral"; Added "Dust" to "Measurement Type" enumeration	Decided durinng the telecon on 2010-03-18
255	2.1.0	2010-03-19	T.King	Released.	Decided durinng the telecon on 2010-03-18
256	2.2.0	2010-04-15	T.King	Added "Hardcopy" as an enumeration to dictionary and to "Format"; Added "Film", "Photographic Plate", "Photograph", "Microfiche", "Microfilm", "Print" to dictionary and to "Hardcopy" enumeration; Changed "Observatory Group" to "Observatory Group ID"; Updated definition of "Observatory" to make it more suitable for creation of conceptual Observatories.; Added "Operating Span" to dictionary with elements "Start Date", "Stop Date" and "Note"; Added "Operating Span" to "Instrument" and "Observatory".;	Decided durinng the telecon on 2010-04-15
257	2.2.0	2010-05-21	T.King	Added "Heliosheath" to dictionary and to "Heliosphere" enumeration;	Decided during the telecon on 2010-05-13
258	2.2.0	2010-06-25	T.King	Added "Fluence" to dictionary and "Particle Quantity"; Updated definitions for "Number Flux", "Coordinate System" and "Counts"; Added "HCC" (Heliocentric Cartesian), "HCR" (Heliocentric Radial), HPC (Helioprojective Cartesian) and "HPR" (Helioprojective Radial) to dictionary and "Coordinate System Name"	Decided durinng the telecon on 2010-06-10
259	2.2.0	2010-08-17	T.King	Added "S3_BUCKET" to dictionary and "Encoding"; Add "Directional" to dictionary and to "Qualifier"; updated definition for "Energy Flux" and "Differential"	Decided durinng the telecon on 2010-07-08.
260	2.2.0	2010-08-20	T.King	Updated definitions of "Outer", "Inner", "Heliosheath" and "Remote 1AU"	Decided during the telecon on 2010-07-08 and refined through subsequent e-mail.
261	2.2.0	2010-09-15	T.King	Added "Excel" to dictionary and to "Format" list; Added "Rendering Axis", and "Index" to dictionary and under "Rendering Hints"; Add "Vertical", "Horizontal", and "Color Bar" to dictionary and to the "Rendering Hints" enumeration; Changed cardinality of "Investigation Name" from 1 to +; Add "Median, " Maximum" and "Minimum" to dictionary and to "Qualifer" list.;	Decided durinng the telecon on 2010-08-26.
262	2.2.0	2010-09-17	T.King	Added "SSE_L" to dictionary and to "Coordinate System Name" list;	Decided during the telecon on 2010-09-16.
263	2.2.0	2011-01-06	T.King	Updated definition for "irradence".	
264	2.2.0	2011-01-06	T.King	Released.	
265	2.2.1	2011-05-12	T.King	Strike "product" from the definition of "Numerical Data".;	Per e-mail from Joe King 4/21/2011
266	2.2.1	2011-06-16	T.King	Added "core", "halo", "strahl" and "superhalo" to the dictionary and to "Qualifier";	As supplied by Aaron Roberts 4/21/2011, modified by Todd King; Decided during the telecon on 2011-06-12.
267	2.2.1	2011-08-18	T.King	Released.	
268	2.2.2	2011-09-26	T.King	Add "Rendering Hints" under "Element"; Set occurrence for "Coordinate Representation" and "Coordinate System Name" under "Coordinate Sytem" to required (1); Set "Size" under "Structure" to required (1); Set "Association ID" and "Association Type" under "Association" to required (1).	Decided during the telecon on 2011-09-15.
269	2.2.2	2011-10-27	T.King	Update definition of "Document"; Add "MIME Type" to dictionary and "Document" structure; Add "Presentation", "Poster", "White Paper", "Technical Note", "Specification" and "Report" to dictionary and to "Document Type" enumeration; Remove "Paper" from dictionary.	Decided during the telecon on 2011-10-27.
270	2.2.2	2012-02-02	T.King	Add "Sector Boundary Crossing" to the dictionary and the "Phenomenon Type" list.; Add "Product Key" to the dictionary and under "Access Information";	Decided during the telecon on 2012-02-02
271	2.2.2	2012-02-27	T.King	Add "Albedo" to the dictionary and to "Wave Quantity" list.; Add "Partical Radius" to the dictionary and to the "Particle Quantity" list;	Decided during the HDMC face-to-face on 2012-02-21
272	2.2.2	2012-02-27	T.King	Released.	
273	2.2.3	2012-03-15	T.King	Modified definition of "Numerical Data" as suggested by R. Weigel and D.A. Roberts; Modified definition of "Potential" as suggested by F. Mozer, D.A. Roberts and S. Fung; Add "Magnetograph" to dictionary and "Instrument Type" as suggested by J. King	Decided during the telecon on 2012-03-15
274	2.2.3	2012-05-10	T.King	Modified definitions of "GEI", "Azimuth Angle", "Elevation Angle" and "Polar Angle" as suggested by J.Merka; Add definition for "ENP and add to "Coordinate System Name" enumeration as suggested by J. Merka; Add definitions of "Photomultiplier Tube" and "Solid State Detector" to dictionary and "Intrument Type" as suggested by B. Weigel.	Decided during the telecon on 2012-05-10
275	2.2.3	2012-05-24	T.King	Add definition of "Moon" and add to "Earth" enumeration as suggested by T. Narock.	Decided during the telecon on 2012-05-24
276	2.2.3	2014-05-22	T.King	Released.	Decided during the telecon on 2014-05-22.
277	2.2.4	2015-05-28	T.King	Add coordinate systems MSO, VSO, KSO, KSM, JSO, JSM to dictionary and CoordinateSystemName, Add SolarUVFlux and IMFClockAngle to dictionary and MixedQuantity.	
278	2.2.4	2015-05-31	T.King	Released.	Coordinated with SPASE Simulation Extension release
279	2.2.5	2015-06-12	T.King	Add moons and magnetosphere to planets. Only the larger moons which are typically encountered or simulated were added.	Decided at telecon on 2015-05-11
280	2.2.5	2015-06-12	T.King	Add coordinate systems to enumeration.	Decided at telecon on 2015-05-11
281	2.2.6	2015-09-09	T.King	Released.	Decided during the telecon on 2015-09-09.
282	2.2.7	2016-07-21	T.King	Change occurrence of Particle->ParticalType from + to * and Wave->WaveType from 1 to 0.	Decided during the telecon on 2016-05-05.
283	2.2.7	2016-07-21	T.King	Add JSON and CSV to the dictionary and to Format enumeration.	Decided during the telecon on 2016-07-21.
284	2.2.8	2016-07-21	T.King	Released.	Decided during the telecon on 2016-09-08.
285	2.2.9	2017-02-09	T.King	Add CadenceMin, CadenceMax, ExposureMin, ExposureMax, PartiallyRestricted, Confidence, ProviderName, MassRange, PitchAngleRange; Change occurrence of Observatory/OperatingSpan from 1 to +.	Decided during the telecon on 2017-02-09.
286	2.2.9	2017-09-07	T.King	Add HGRTN, HERTN to dictionary and to CoordinateSystemName. Add Entropy to dictionary and ParticleQuantity.	Decided during the telecon on 2017-09-14.
287	2.2.9	2017-11-14	T.King	Released.	Decided during the telecon on 2017-11-14.
288	2.3.0	2018-02-08	T.King	Add DOI to dictionary and to ResourceHeader.	Decided during the telecon on 2018-02-08.
289	2.3.0	2018-05-04	T.King	Add PublicationInfo, PublicationDate, Authors, Funding, Agency, Project, Award, ORCIdentifier to dictionary and to the model.	Decided (mostly) during the telecon on 2018-03-19.
290	2.3.0	2018-05-08	T.King	Add File, HAPI, Listing, Search, Template, Overview, WebService to dictionary and as values for Style enumeration.; Add Style to dictionary and AccessURL	Decided (partially) during the telecon on 2018-03-19.
291	2.3.0	2018-05-31	T.King	Released.	Decided during the telecon on 2018-05-31.
292	2.3.1	2018-06-18	T.King	Add Eccentric Dipole (ECD) to dictionary and CoordinateSystem list.	Decided by email on 2018-05-18.
293	2.3.1	2018-11-01	T.King	Add Positron to dictionary and ParticleType list.	Decided at telecon on 2018-11-01.
294	2.3.1	2019-02-25	T.King	Add Developer, HostContact and User to dictionary and Role list.	Decided by email 2019-02-20.
295	2.3.1	2019-06-13	T.King	Add StartDate, StopDate and Note to Contact.	Decided (partially) during telecon on 2019-05-30.
296	2.3.1	2019-06-13	T.King	Add RevisionHistory, RevisionEvent to dictionary and add RevisionHistory to ResourceHeader; Add IonGauge to dictionary and to InstrumentType.	Decided during telecon on 2019-06-13.
